PaisDestino,Anio,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
Irlanda,2016,1962.6699999999996,5901213.660000002,560.3100000000001
Venezuela,2011,5281.840000000001,9871071.580000002,553.6400000000001
Malasia,2012,4105.410000000001,7386031.249999999,552.91
Taiwán- Provincia de China,2009,2359.4399999999996,5173954.9,547.6099999999999
Malasia,2011,7456.11,13822888.400000002,547.1800000000001
Siria- República Árabe,2017,2283.9100000000003,6744248.77,544.36
Turquía,2017,1884.9900000000002,5554360.7700000005,535.97
Portugal,2016,1692.8,5201463.640000001,527.9999999999999
Líbano,2015,1813.2700000000002,5010811.620000001,527.06
Sudáfrica,2017,1768.74,5226396.07,526.6400000000001
Sudáfrica,2009,1948.02,4157480.7000000007,523.1999999999999
Venezuela,2009,6470.370000000001,14110276.530000001,522.7100000000002
Marruecos,2012,2503.5799999999995,4483592.75,522.5799999999999
Irlanda,2015,2140.36,5899416.470000001,522.2300000000001
Argentina,2014,2285.21,4677146.63,521.13
Argentina,2016,1950.1699999999996,5943286.080000001,516.04
Argentina,2007,1678.3799999999997,3484216.13,514.55
Letonia,2007,1703.8100000000002,3467907.7,512.06
China,2007,1357.12,2828795.6,509.2199999999999
Argentina,2015,2174.8299999999995,5915859.640000001,508.27000000000004
Jordania,2016,1526.18,4804573.619999999,492.92
Marruecos,2015,1703.28,4611064.470000001,489.53
Taiwán- Provincia de China,2011,3340.06,6170184.92,489.1700000000001
Sudáfrica,2006,1470.5800000000002,3499014.039999999,483.75
Rumania,2011,2808.0,5221942.24,480.71000000000004
Polonia,2012,4419.150000000001,7964291.550000001,478.2399999999999
Eslovenia,2009,1805.23,3723706.630000001,473.69
Líbano,2014,1736.0300000000004,3530277.2199999993,471.39
Siria- República Árabe,2010,2019.4099999999999,3931131.9699999997,468.38000000000005
Chile,2009,3135.53,6815211.220000002,466.7600000000001
Jordania,2007,1279.5900000000001,2667940.27,466.33
Grecia,2012,2133.55,3834400.7300000004,465.16
Argentina,2008,1672.87,3163951.9399999995,462.89000000000004
República Checa,2008,1495.97,2740884.04,462.39
Singapur,2016,1803.1699999999994,5497736.73,460.71999999999997
Argentina,2012,2429.47,4382392.96,458.82000000000005
Suiza,2018,1954.18,5577842.1899999995,455.8299999999999
Argentina,2011,2764.9199999999996,5068278.01,450.16
Marruecos,2013,1463.5900000000001,2740508.16,446.49999999999994
Jordania,2008,1382.0100000000002,2953261.73,446.41999999999996
Líbano,2017,1530.76,4530543.399999999,440.71999999999997
Eslovenia,2010,2021.1899999999998,3843132.46,437.2300000000001
Líbano,2016,1473.43,4506487.010000001,430.74000000000007
Chile,2006,1242.8999999999996,2936828.2499999995,429.36999999999995
